Bezirk,BFS-Nummer,Gemeinde,Ja Stimmen,Nein Stimmen,Stimmberechtigte,Leere Stimmzettel,Ungültige Stimmzettel
,1711,Zug,3515,6458,16914,10034,0,0
,1706,Oberägeri,575,1422,3639,2000,0,0
,1709,Unterägeri,901,1930,5325,2848,0,0
,1704,Menzingen,435,1126,2960,1570,0,0
,1701,Baar,2454,4967,13982,7481,0,0
,1702,Cham,1741,3525,9768,5290,0,0
,1703,Hünenberg,1063,2375,5925,3459,0,0
,1708,Steinhausen,1127,2178,5993,3324,0,0
,1707,Risch,1008,2151,6115,3182,0,0
,1710,Walchwil,369,985,2057,1358,0,0
,1705,Neuheim,193,529,1299,724,0,0
